timestamp,anomaly_type,metric_name,observed_value,baseline_value,threshold,deviation_sigma,confidence,severity,source,description
2026-01-25T08:00:00Z,auth_failure,login_fail_rate,0.12,0.02,0.05,3.5,0.95,high,192.0.2.10,多次连续登录失败
2026-01-25T08:00:30Z,auth_failure,login_fail_rate,0.15,0.02,0.05,4.2,0.98,critical,192.0.2.10,账户被锁定
2026-01-25T08:01:00Z,auth_failure,login_fail_rate,0.08,0.02,0.05,2.1,0.85,medium,192.0.2.10,登录失败率下降
2026-01-25T08:02:00Z,access_violation,api_403_rate,0.10,0.01,0.06,4.5,0.97,high,198.51.100.0/24,未授权API访问尝试
2026-01-25T08:02:30Z,access_violation,api_403_rate,0.25,0.01,0.06,8.0,0.99,critical,198.51.100.0/24,大量403响应
2026-01-25T08:03:00Z,access_violation,api_403_rate,0.02,0.01,0.06,0.5,0.40,low,198.51.100.0/24,访问模式正常化
2026-01-25T08:04:00Z,ais_integrity,position_jump_count,5,0,1,5.0,0.99,critical,412345678,AIS位置跳变检测
2026-01-25T08:04:30Z,ais_integrity,speed_anomaly,105.5,12.0,102.2,8.0,0.99,critical,412345678,AIS速度超出物理限制
2026-01-25T08:05:00Z,ais_integrity,mmsi_conflict,2,1,1,1.0,0.75,medium,412345678,同一MMSI多位置报告
2026-01-25T08:06:00Z,network,packet_loss_rate,0.15,0.02,0.10,3.2,0.92,high,satellite_link,卫星链路丢包率升高
2026-01-25T08:06:30Z,network,latency_spike,1200,680,1000,2.8,0.88,medium,satellite_link,延迟峰值
2026-01-25T08:07:00Z,network,link_flapping,3,0,2,3.0,0.95,high,cellular_link,链路频繁切换
2026-01-25T08:08:00Z,certificate,cert_expiry_days,7,365,30,12.0,0.99,critical,10.0.1.100,证书即将过期
2026-01-25T08:08:30Z,certificate,cert_chain_error,1,0,0,1.0,0.90,high,172.16.0.100,证书链验证失败
2026-01-25T08:09:00Z,resource,cpu_usage,0.92,0.45,0.85,2.5,0.90,medium,shipboard_server,CPU使用率过高
2026-01-25T08:09:30Z,resource,memory_usage,0.88,0.60,0.90,1.8,0.80,low,shipboard_server,内存使用率接近阈值
2026-01-25T08:10:00Z,resource,disk_usage,0.95,0.70,0.90,2.5,0.92,high,shipboard_server,磁盘空间不足
2026-01-25T08:10:30Z,traffic,request_rate,500,100,300,4.0,0.96,high,api_gateway,请求速率异常
2026-01-25T08:11:00Z,traffic,data_exfiltration,50000,5000,20000,3.0,0.92,high,10.0.1.50,大量数据外传
2026-01-25T08:11:30Z,timing,clock_drift_ms,150,5,50,3.0,0.94,high,navigation_system,时钟偏移过大
